id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,url,image_url,sound_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
171518684,81493ae0-1b40-4c66-866b-5bf2c3bf964b,2023-07-07 00:28:38,2023-07-07,2023-07-07 07:28:38 UTC,Pacific Time (US & Canada),research,CC-BY-SA,https://www.inaturalist.org/observations/171518684,,https://static.inaturalist.org/sounds/762023.wav?1688715019,1,0,false,"Sage, CA 92544, USA",33.5407558479,-116.9368373975,4,4,Coyote,Canis latrans,Coyote,Mammalia,42051
171951357,4237da69-ba83-4b55-8b94-d4d64e33f8df,2023-07-09 07:00:47-07:00,2023-07-09,2023-07-09 14:00:47 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/171951357,https://inaturalist-open-data.s3.amazonaws.com/photos/298446360/medium.jpg,https://static.inaturalist.org/sounds/764391.m4a?1688911352,1,0,false,"San Bernardino National Forest, Pine Cove, CA, US",33.7487725541,-116.6954530032,9,9,Western Gray Squirrel,Sciurus griseus,Western Gray Squirrel,Mammalia,46023
172009621,0b128096-6d09-4501-8a43-38dab89b405f,2023-07-09 11:52:37-07:00,2023-07-09,2023-07-09 18:52:37 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/172009621,,https://static.inaturalist.org/sounds/764617.m4a?1688928779,1,0,false,"Glen Canyon Park, San Francisco, CA, US",37.7405843789,-122.4442392683,133,133,Coyote,Canis latrans,Coyote,Mammalia,42051
172367710,5413a878-1e77-44ad-81a0-707f02cea67f,2023/07/11 10:33 AM,2023-07-11,2023-07-11 17:33:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/172367710,,https://static.inaturalist.org/sounds/766279.wav?1689096838,1,0,false,"Turtle Rock, Irvine, CA, USA",33.6548875351,-117.8209174705,92,92,Coyote,Canis latrans,Coyote,Mammalia,42051
172438877,568e9638-363d-4c53-83c4-a35225f41aa7,2023-07-11 18:26:22-07:00,2023-07-11,2023-07-12 01:26:22 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/172438877,,https://static.inaturalist.org/sounds/766567.m4a?1689125366,1,0,false,"Spar Dr, Redwood City, CA, US",37.522107352,-122.2483280021,4,4,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
172593392,bdc09ea1-b3db-4f9f-95f3-bb40fca288be,2023-07-12 16:52:37-07:00,2023-07-12,2023-07-12 23:52:37 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/172593392,,https://static.inaturalist.org/sounds/767397.m4a?1689206055,2,0,false,"Ventura, CA, US",34.3547664565,-119.2630321042,22217,22217,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
173517844,55d16232-a580-46a1-ad81-d1495c2841f7,2023/06/04 5:48 PM,2023-06-04,2023-06-05 00:48:00 UTC,Pacific Time (US & Canada),research,CC0,https://www.inaturalist.org/observations/173517844,,https://static.inaturalist.org/sounds/771917.mp3?1689641926,1,0,false,"Orange County, CA, USA",33.7935097887,-117.7416841481,4,4,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
173955297,a2d92fd5-1c77-4130-bfcb-25207581eedf,2023/07/20 9:13 AM,2023-07-20,2023-07-20 16:13:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/173955297,,https://static.inaturalist.org/sounds/773923.mp3?1689869644,2,0,false,"Turtle Rock, Irvine, CA, USA",33.6545392416,-117.8208745551,134,134,Coyote,Canis latrans,Coyote,Mammalia,42051
175229909,c23616d0-d5b1-4f52-b038-74e4f04b216b,2023-07-27 09:36:14-07:00,2023-07-27,2023-07-27 16:36:14 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/175229909,,https://static.inaturalist.org/sounds/779349.m4a?1690475833,1,0,false,"California, US",34.0252298061,-118.8137392796,237,28874,Gray Fox,Urocyon cinereoargenteus,Gray Fox,Mammalia,42076
176420820,02d90518-2eee-4e35-842d-d74fbe2c1ecf,2023-08-03 05:25:20-07:00,2023-08-03,2023-08-03 12:25:20 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/176420820,,https://static.inaturalist.org/sounds/784620.m4a?1691065771,2,0,false,"Diamond Back Way, Grass Valley, CA, US",39.1656520115,-121.0361184668,4,4,Gray Fox,Urocyon cinereoargenteus,Gray Fox,Mammalia,42076
176483054,25ba7593-23ad-4d78-984d-a928bf8d0c00,2023-08-03 12:19:13,2023-08-03,2023-08-03 19:19:13 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/176483054,https://inaturalist-open-data.s3.amazonaws.com/photos/306827485/medium.jpeg,https://static.inaturalist.org/sounds/784910.wav?1691090561,2,0,false,"Catherine Way at Descanso Beach, Avalon, CA 90704, USA",33.35070953,-118.33217592,7,7,Catalina Ground Squirrel,Otospermophilus beecheyi nesioticus,Catalina Ground Squirrel,Mammalia,537770
176872654,be1d374f-3f63-4e36-bb3f-6a4012581c0b,2023-08-05 16:48:08-07:00,2023-08-05,2023-08-05 23:48:08 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/176872654,,https://static.inaturalist.org/sounds/786458.m4a?1691279307,1,0,false,"Cijon St, San Diego, CA, US",32.950157446,-117.1104106381,4,4,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
